longitude,latitude,pa,sst,cuv,ph
146.9961,-43.5252,0.6,14.674871740293364,0.0,8.087736268019691
145.5405,-40.8901,14.0,15.42419456425907,0.0,8.080148364930722
145.5364,-40.8905,0.8,15.42419456425907,0.0,8.080148364930722
146.642,-41.0989,5.0,15.37717886182735,0.0,8.077183319247073
147.8383,-40.3005,5.7,15.781624476220964,0.0,8.071414752086927
147.8947,-40.2968,0.0,15.842093248937871,0.0,8.070510797939518
146.7905,-41.0655,0.9,15.420280352798292,0.0,8.077566431435685
146.8414,-41.0343,0.0,15.413744294728952,0.0,8.077671200166828
145.917,-43.3634,1.8,14.808206958927785,0.0,8.071982551403527
148.3161,-41.2464,27.5,15.803525696584314,0.0,8.078366630118921
148.3098,-41.8801,19.08,15.621263550563015,0.0,8.081470816017653
145.6194,-40.9245,24.7,15.415962202047334,0.0,8.07916924452645
145.9667,-43.3336,28.45,14.689937648588963,0.0,8.072660815273231
145.2002,-42.1995,30.5,15.04693840311699,0.0,8.080960050165908
145.7134,-43.1135,3.1,14.86299823310033,0.0,8.076346108591043
148.273,-42.2571,23.9,15.256849817869831,0.0,8.087761118960799
147.3718,-43.0883,46.6,14.561170224514667,0.0,8.09372996329988
148.1364,-42.6635,24.8,15.219534451555532,0.0,8.08511107616312
148.3085,-41.9652,1.0,15.5921626009965,0.0,8.081409010516044
147.1269,-43.2757,55.4,14.559367126928679,0.0,8.087418159806498
148.458,-40.4413,0.0,16.07868210544672,0.0,8.078994061011112
148.458,-40.4128,0.0,16.07868210544672,0.0,8.078994061011112
148.0032,-42.5066,9.3,15.088569630391385,0.0,8.094477744676503
148.3183,-41.9264,16.7,15.596975920401654,0.0,8.081025868867215
147.9383,-40.7625,0.0,15.669227092996572,0.0,8.075825245694796
147.4254,-43.2535,17.3,14.681842385939952,0.0,8.089006211105227
145.1669,-42.1953,18.2,15.128600719872445,0.0,8.079859999441268
145.1696,-42.1964,22.7,15.128600719872445,0.0,8.079859999441268
145.1848,-42.1954,45.6,15.128600719872445,0.0,8.079859999441268
147.3325,-43.0591,12.763636363636362,14.54414020626592,0.0,8.092752581132105
147.1434,-43.2729,10.44,14.559367126928679,0.0,8.087418159806498
147.356,-42.9521,38.0,14.513858072636964,0.0,8.095161893439334
146.3774,-43.5915,47.9,14.703503893448506,0.0,8.078673621619922
147.3571,-43.0627,47.98787909090909,14.561170224514667,0.0,8.09372996329988
148.3477,-40.9891,1.7,15.877013187819905,0.0,8.078376847434296
148.3461,-40.9945,16.2,15.877013187819905,0.0,8.078376847434296
148.2907,-42.1419,2.9,15.34109691133396,0.0,8.085137224787777
148.2619,-42.1683,0.6,15.258811561350221,0.0,8.086845374460921
