longitude,latitude,pa,sst,cuv,ph
146.9961,-43.5252,0.6,14.90471080533428,0.17714642080804327,8.072702729684796
145.5405,-40.8901,14.0,15.596622415092735,0.06196545715698312,8.066018707082758
145.5364,-40.8905,0.8,15.596622415092735,0.06196545715698312,8.066018707082758
146.642,-41.0989,5.0,15.541208866263332,0.09245068439982833,8.062907427483964
147.8383,-40.3005,5.7,15.98555545123131,0.03413680284142565,8.056183169399379
147.8947,-40.2968,0.0,16.042072459649653,0.033835865483199126,8.055100880127409
146.7905,-41.0655,0.9,15.575570333240318,0.115701428978143,8.063043278864965
146.8414,-41.0343,0.0,15.570232689639722,0.13344457270881557,8.063135837283427
145.917,-43.3634,1.8,15.04408027517487,0.13749438300740197,8.057353290744624
148.3161,-41.2464,27.5,15.863950273998112,0.03145251743094571,8.05970039660133
148.3098,-41.8801,19.08,15.718451494943784,0.0482151423105491,8.062756796358954
145.6194,-40.9245,24.7,15.587878067258126,0.07893303211077515,8.065049498572487
145.9667,-43.3336,28.45,14.928659670566255,0.11765028346075636,8.05802526868404
145.2002,-42.1995,30.5,15.27091513629931,0.020367355902284605,8.06712733773909
145.7134,-43.1135,3.1,15.105612774879987,0.1069524335109122,8.06199099938829
148.273,-42.2571,23.9,15.44103928617329,0.07536325512872268,8.07004570485302
147.3718,-43.0883,46.6,14.766198653477748,0.057493803773616334,8.078504562229519
148.1364,-42.6635,24.8,15.423828437461546,0.09527118963911453,8.067925730675698
148.3085,-41.9652,1.0,15.714200799544553,0.05007014871526335,8.062880125704755
147.1269,-43.2757,55.4,14.782223252882135,0.08318454895823342,8.072450314570382
148.458,-40.4413,0.0,16.145881454663588,0.06864696225672294,8.06096016378588
148.458,-40.4128,0.0,16.145881454663588,0.06864696225672294,8.06096016378588
148.0032,-42.5066,9.3,15.286935333391288,0.018899861839412304,8.07723632509378
148.3183,-41.9264,16.7,15.706873527968025,0.04797029493659595,8.062455907897377
147.9383,-40.7625,0.0,15.805122606131944,0.11308514038692745,8.059249293519208
147.4254,-43.2535,17.3,14.887036297827212,0.13005379119069452,8.073955543424695
145.1669,-42.1953,18.2,15.352781210384657,0.025041708517190085,8.066029481066122
145.1696,-42.1964,22.7,15.352781210384657,0.025041708517190085,8.066029481066122
145.1848,-42.1954,45.6,15.352781210384657,0.025041708517190085,8.066029481066122
147.3325,-43.0591,12.763636363636362,14.750138908544113,0.05380731873653966,8.077519854781698
147.1434,-43.2729,10.44,14.782223252882135,0.08318454895823342,8.072450314570382
147.356,-42.9521,38.0,14.722517667535206,0.08333269259347038,8.079806324555994
146.3774,-43.5915,47.9,14.94800471115499,0.17404379017157728,8.063661055763893
147.3571,-43.0627,47.98787909090909,14.766198653477748,0.057493803773616334,8.078504562229519
148.3477,-40.9891,1.7,15.941157758194427,0.039785190184185165,8.059893650865599
148.3461,-40.9945,16.2,15.941157758194427,0.039785190184185165,8.059893650865599
148.2907,-42.1419,2.9,15.497677807883315,0.006627820017987783,8.067009491066916
148.2619,-42.1683,0.6,15.426009291268043,0.016526045283881484,8.06890470788128
147.9606,-43.1306,32.05,15.190065467406653,0.15515827822507514,8.063024542185751
