longitude,latitude,pa,sst,cuv,ph
146.9961,-43.5252,0.6,0.0,0.1761644870524937,8.083729613695137
145.5405,-40.8901,14.0,0.0,0.05923214865978788,8.078349009367988
145.5364,-40.8905,0.8,0.0,0.05923214865978788,8.078349009367988
146.642,-41.0989,5.0,0.0,0.08848567719351033,8.074871315495947
147.8383,-40.3005,5.7,0.0,0.03235279523007192,8.067792232850817
147.8947,-40.2968,0.0,0.0,0.0295439733743124,8.066760266669585
146.7905,-41.0655,0.9,0.0,0.11179253868487946,8.075039227909025
146.8414,-41.0343,0.0,0.0,0.12951134025322023,8.075091516707786
145.917,-43.3634,1.8,0.0,0.1364764470695799,8.069286467108899
148.3161,-41.2464,27.5,0.0,0.03369333238302743,8.073056589168216
148.3098,-41.8801,19.08,0.0,0.05310231922574575,8.076294384450481
145.6194,-40.9245,24.7,0.0,0.07671321206961987,8.077348318564773
145.9667,-43.3336,28.45,0.0,0.11636118633651048,8.0699519728811
145.2002,-42.1995,30.5,0.0,0.01875274078940412,8.07957906551805
145.7134,-43.1135,3.1,0.0,0.10623653874925033,8.07408768197004
148.273,-42.2571,23.9,0.0,0.07521462973804026,8.082655531240082
147.3718,-43.0883,46.6,0.0,0.058835239513207176,8.088191999040236
148.1364,-42.6635,24.8,0.0,0.1019551818488173,8.079970402978596
148.3085,-41.9652,1.0,0.0,0.05512919394901973,8.076241176640606
147.1269,-43.2757,55.4,0.0,0.08237390017890805,8.082683852280317
148.458,-40.4413,0.0,0.0,0.07171972632244421,8.073401526999547
148.458,-40.4128,0.0,0.0,0.07171972632244421,8.073401526999547
148.0032,-42.5066,9.3,0.0,0.024154212261012376,8.089322779147997
148.3183,-41.9264,16.7,0.0,0.052984549191468305,8.07585087982499
147.9383,-40.7625,0.0,0.0,0.11067222560633612,8.071482821614136
147.4254,-43.2535,17.3,0.0,0.13122544482665366,8.083296044657297
145.1669,-42.1953,18.2,0.0,0.023333797824930922,8.078518961768538
145.1696,-42.1964,22.7,0.0,0.023333797824930922,8.078518961768538
145.1848,-42.1954,45.6,0.0,0.023333797824930922,8.078518961768538
147.3325,-43.0591,12.763636363636362,0.0,0.05486546629543545,8.087326049221405
147.1434,-43.2729,10.44,0.0,0.08237390017890805,8.082683852280317
147.356,-42.9521,38.0,0.0,0.08310322903153741,8.089800171830827
146.3774,-43.5915,47.9,0.0,0.17229323175838882,8.07543048392865
147.3571,-43.0627,47.98787909090909,0.0,0.058835239513207176,8.088191999040236
148.3477,-40.9891,1.7,0.0,0.041116940319385245,8.07310562880847
148.3461,-40.9945,16.2,0.0,0.041116940319385245,8.07310562880847
148.2907,-42.1419,2.9,0.0,0.009614453570970526,8.080022778875028
148.2619,-42.1683,0.6,0.0,0.013075869116329948,8.081724212766257
147.9606,-43.1306,32.05,0.0,0.16055978857641115,8.07389121823372
148.1076,-42.5832,46.4,0.0,0.07694435649825308,8.082771564516241
148.3043,-42.0561,19.1,0.0,0.04376710234337552,8.07802638416553
147.2914,-43.1937,0.0,0.0,0.12809104909590613,8.08448977579863
144.6497,-40.8989,5.9,0.0,0.05933634585916589,8.080600589341364
148.0048,-42.4388,2.2,0.0,0.023413181957536697,8.08760009688335
148.3163,-41.9033,21.52,0.0,0.052984549191468305,8.07585087982499
146.4259,-41.1427,1.2,0.0,0.0730139886127481,8.074854842537865
147.1418,-43.2938,19.81,0.0,0.08237390017890805,8.082683852280317
148.1618,-42.412,60.2,0.0,0.05723524182328692,8.081592225171894
145.9028,-43.3025,12.52,0.0,0.12111193516000388,8.071192070320032
145.9029,-43.3006,4.08,0.0,0.12111193516000388,8.071192070320032
145.8966,-43.3122,11.833333333333334,0.0,0.1373887794547945,8.071047357186997
147.4164,-43.0585,44.9,0.0,0.046930078232485684,8.089239492190618
148.3175,-41.5816,1.9,0.0,0.047441790770228254,8.074439616657134
145.9668,-43.3066,6.8,0.0,0.11636118633651048,8.0699519728811
148.069,-42.1899,1.3,0.0,0.03404795156099267,8.081887314504376
147.9804,-42.6435,8.9,0.0,0.03485810328772176,8.084790435102333
147.9736,-42.8835,10.8,0.0,0.07891042498459518,8.080194113747572
147.1793,-43.3542,21.1,0.0,0.10653842235193221,8.081456188160136
147.6283,-40.8225,1.8,0.0,0.11734246661213557,8.072633315226593
146.7843,-41.056,3.1,0.0,0.11179253868487946,8.075039227909025
146.79,-41.0544,1.1,0.0,0.11179253868487946,8.075039227909025
146.2834,-43.6445,18.5,0.0,0.1270834168518096,8.071526016603372
145.9862,-43.3227,8.299999999999999,0.0,0.11636118633651048,8.0699519728811
145.983,-43.3219,8.5,0.0,0.11636118633651048,8.0699519728811
145.9724,-43.4165,9.66,0.0,0.14025054389550226,8.069154235003682
145.9696,-43.4218,34.13333333333333,0.0,0.14025054389550226,8.069154235003682
146.1485,-43.5205,2.9,0.0,0.18160702833999917,8.071358137316619
145.9332,-43.3694,7.7,0.0,0.1364764470695799,8.069286467108899
145.9332,-43.3694,3.6,0.0,0.1364764470695799,8.069286467108899
147.5937,-40.8472,0.0,0.0,0.13660578457385555,8.073208056920581
147.5943,-40.8485,0.3,0.0,0.13660578457385555,8.073208056920581
